difficulty,q_no_in_difficulty,format,stem,options_json,correct_answer_json,explanation,source_type,source_ref,tags_json,qa_status,is_active
medium,16,mcq,Choose the best description of bus topology structure.,"{""choices"":[""all nodes connect to central switch"",""nodes connect in a closed ring"",""every node connects to every node"",""all nodes connect to one backbone cable""]}","{""choice"":""all nodes connect to one backbone cable""}",Bus topology uses one main cable shared by all connected nodes.,new_original,"U1 DT 2023 Q7(b)(i), Q7(c) + MS; Network_Technologies_Notes.docx","[""bus_topology""]",published,true
medium,17,mcq,Which option is correct for bus topology disadvantages?,"{""choices"":[""no collisions occur"",""if backbone cable fails network fails"",""performance always improves with more nodes"",""one cable fault affects only one workstation""]}","{""choice"":""if backbone cable fails network fails""}",A single backbone fault can stop communication for the whole bus network.,new_original,U1 DT 2023 Q7(b)(ii) + MS; Network_Technologies_Notes.docx,"[""bus_disadvantage""]",published,true
medium,18,mcq,Select the accurate option for ring topology.,"{""choices"":[""no cables are used"",""data passes from one node/workstation to another"",""all devices share one backbone only"",""all devices connect to central switch""]}","{""choice"":""data passes from one node/workstation to another""}",Ring topology sends data around the loop via each connected node.,new_original,"U1 DT 2023 Q7(c), 2022 Q7(a) + MS; Network_Technologies_Notes.docx","[""ring_topology""]",published,true
medium,19,mcq,Choose the best description of star topology structure.,"{""choices"":[""devices connect in one circle"",""all devices connect to central server/switch/hub"",""no central device is used"",""devices share one backbone cable""]}","{""choice"":""all devices connect to central server/switch/hub""}",Star networks use a central point with separate links to each workstation.,new_original,"U1 DT 2019 Q6(d)(i), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""star_topology""]",published,true
medium,20,mcq,Which option is correct for star disadvantage?,"{""choices"":[""no cabling cost"",""if central device fails network fails"",""no setup required"",""cannot connect printers""]}","{""choice"":""if central device fails network fails""}",The central switch/server is a dependency in star topology.,new_original,"U1 DT 2019 Q6(d)(iii), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""star_disadvantage""]",published,true
medium,21,fill_gap,Fill the gap: Fibre-optic cables carry data as ____ signals.,null,"{""accepted"":[""light"",""light signals"",""pulses of light"",""data transmitted as light""]}",Fibre-optic cables use pulses of light to carry data.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""optical_fibre_signals""]",published,true
medium,22,fill_gap,Fill the gap: Fibre-optic cable has ____ bandwidth.,null,"{""accepted"":[""high"",""high bandwidth"",""has a high bandwidth""]}",Fibre is designed to carry large amounts of data quickly.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""optical_fibre_bandwidth""]",published,true
medium,23,fill_gap,Fill the gap: Fibre-optic cable is less susceptible to ____.,null,"{""accepted"":[""interference"",""less susceptible to interference"",""low interference"",""less affected by interference""]}",Fibre is less affected by electromagnetic interference than copper cables.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""optical_fibre_interference""]",published,true
medium,24,fill_gap,Fill the gap: Data on fibre is generally ____ to intercept than copper.,null,"{""accepted"":[""harder"",""more difficult"",""harder to intercept than copper"",""not easier to intercept than copper"",""more secure than copper for interception""]}",Fibre is typically harder to tap without detection than copper cabling.,new_original,U1 DT 2022 Q8(d) + MS; Network_Technologies_Notes.docx,"[""optical_fibre_security""]",published,true
medium,25,fill_gap,Fill the gap: Accessing company files while travelling often uses ____.,null,"{""accepted"":[""5G"",""5 g""]}",Mobile broadband such as 5G is used when travelling away from fixed networks.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""mobile_5g""]",published,true
medium,26,fill_gap,Fill the gap: A ____ connects a LAN to the internet.,null,"{""accepted"":[""router"",""connects networks and routes packets"",""joins two or more networks"",""forwards packets from one network to another""]}","Routers direct traffic between networks, including between a LAN and the internet.",new_original,"U1 DT 2021 Q6(2), 2023 Q6(b) + MS; Network_Technologies_Notes.docx","[""router""]",published,true
medium,27,fill_gap,"Fill the gap: On a wired LAN, each device connects to a ____ using Ethernet cables.",null,"{""accepted"":[""switch"",""network switch"",""wired connection to switch"",""devices connect to a switch with ethernet cables"",""ethernet cable to switch""]}","In wired LANs, Ethernet cabling links network devices to switches.",new_original,U1 DT 2023 Q6(b) + MS; Network_Technologies_Notes.docx,"[""ethernet_switch""]",published,true
medium,28,fill_gap,Fill the gap: A NIC allows a device to ____ and communicate on a network.,null,"{""accepted"":[""connect"",""join"",""connect to and communicate on a network"",""allows device to connect to a network"",""network connection and communication""]}",A network interface card provides the hardware interface for network access.,new_original,U1 DT 2023 Q7(e) + MS; Network_Technologies_Notes.docx,"[""nic""]",published,true
medium,29,fill_gap,"Fill the gap: In a bus topology, the main cable is called the ____.",null,"{""accepted"":[""backbone"",""backbone cable"",""main cable in bus network"",""main cable"",""bus main cable""]}",All devices in a bus topology connect to the backbone cable.,new_original,"U1 DT 2023 Q7(b)(iii), 2025 Q13 + MS; Network_Technologies_Notes.docx","[""backbone""]",published,true
medium,30,fill_gap,Fill the gap: A ____ is fitted at each end of a bus cable.,null,"{""accepted"":[""terminator"",""terminators"",""stop signal bounce on bus cable"",""stops signal returning down the backbone"",""absorbs signal to reduce collisions""]}",Terminators absorb signals at cable ends to reduce distortion and data loss.,new_original,U1 DT 2023 Q7(b)(iii) + MS; Network_Technologies_Notes.docx,"[""terminator""]",published,true
medium,31,fill_gap,Fill the gap: A closed-loop network is a ____ topology.,null,"{""accepted"":[""ring"",""ring topology""]}","In ring topology, each node is connected in a closed path.",new_original,U1 DT 2022 Q7(a)(i) + MS; Network_Technologies_Notes.docx,"[""topology_ring_name""]",published,true
medium,32,fill_gap,Fill the gap: A network with one backbone cable is a ____ topology.,null,"{""accepted"":[""bus"",""bus topology"",""bus network""]}",Bus topology is identified by a shared backbone cable.,new_original,U1 DT 2023 Q7(b)(i) + MS; Network_Technologies_Notes.docx,"[""topology_bus_name""]",published,true
medium,33,fill_gap,Fill the gap: A network with one central connection point is a ____ topology.,null,"{""accepted"":[""star"",""star topology"",""star network""]}",Star topology uses a central node and separate device links.,new_original,"U1 DT 2019 Q6(d)(i), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""topology_star_name""]",published,true
medium,34,fill_gap,Fill the gap: One advantage of networking is ____ files and hardware.,null,"{""accepted"":[""sharing"",""share"",""share files hardware and communication"",""share files and hardware"",""share software and communicate"",""access files from any networked computer""]}",Typical network benefits are resource sharing and easier collaboration.,new_original,"U1 DT 2019 Q6(a)(ii), 2025 Q8(d) + MS; Network_Technologies_Notes.docx","[""network_advantages""]",published,true
medium,35,fill_gap,"Fill the gap: In a ring network, data passes from one ____ to another.",null,"{""accepted"":[""node"",""workstation"",""device"",""data passes from one node/workstation to another"",""data passes workstation to workstation"",""data travels around the ring through each node""]}",Ring topology sends data around the loop via each connected node.,new_original,"U1 DT 2023 Q7(c), 2022 Q7(a) + MS; Network_Technologies_Notes.docx","[""ring_topology""]",published,true
medium,36,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Backbone cable fails"",""right"":""Bus communication fails""},{""left"":""Single workstation fails in star"",""right"":""Other nodes usually continue""},{""left"":""Central device fails in star"",""right"":""Whole star may stop""},{""left"":""Cable/node fails in ring"",""right"":""Ring can be disrupted""}],""choices"":[""Bus communication fails"",""Other nodes usually continue"",""Whole star may stop"",""Ring can be disrupted"",""No effect on any topology""]}","{""pairs"":{""Backbone cable fails"":""Bus communication fails"",""Single workstation fails in star"":""Other nodes usually continue"",""Central device fails in star"":""Whole star may stop"",""Cable/node fails in ring"":""Ring can be disrupted""}}","Bus depends on its backbone, star isolates single workstation faults but depends on the central device, and ring can be disrupted by single faults.",new_original,"U1 DT 2019 Q6(d), 2022 Q7(a), 2023 Q7(b), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""medium_match_topology_effects""]",published,true
medium,37,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Main cable"",""right"":""Backbone""},{""left"":""End component"",""right"":""Terminator""},{""left"":""Connected device"",""right"":""Node/Workstation""},{""left"":""Typical issue if overloaded"",""right"":""Collisions""}],""choices"":[""Switch"",""Collisions"",""Node/Workstation"",""Terminator"",""Backbone""]}","{""pairs"":{""Main cable"":""Backbone"",""End component"":""Terminator"",""Connected device"":""Node/Workstation"",""Typical issue if overloaded"":""Collisions""}}","A bus network uses a backbone with terminators, connected nodes, and can suffer collisions.",new_original,U1 DT 2023 Q7(b)(c) + MS; Network_Technologies_Notes.docx,"[""medium_match_bus_parts""]",published,true
medium,38,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Global network of networks"",""right"":""Internet""},{""left"":""Collection of linked web pages"",""right"":""WWW""},{""left"":""Private organisational network"",""right"":""Intranet""},{""left"":""Physical connected devices online"",""right"":""IoT""}],""choices"":[""Internet"",""WWW"",""Intranet"",""IoT"",""LAN""]}","{""pairs"":{""Global network of networks"":""Internet"",""Collection of linked web pages"":""WWW"",""Private organisational network"":""Intranet"",""Physical connected devices online"":""IoT""}}","Internet is infrastructure, WWW is service/content, intranet is private, and IoT is connected physical devices.",new_original,U1 DT 2025 Q8(a)(b)(c) + MS; Network_Technologies_Notes.docx,"[""medium_match_internet_www""]",published,true
medium,39,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Watch to smartphone"",""right"":""Bluetooth""},{""left"":""Smart TV to home router"",""right"":""Wi-Fi""},{""left"":""Travelling user to cloud"",""right"":""5G""},{""left"":""Business LAN to internet"",""right"":""Fibre-optic""}],""choices"":[""Backbone"",""Fibre-optic"",""5G"",""Wi-Fi"",""Bluetooth""]}","{""pairs"":{""Watch to smartphone"":""Bluetooth"",""Smart TV to home router"":""Wi-Fi"",""Travelling user to cloud"":""5G"",""Business LAN to internet"":""Fibre-optic""}}",Each scenario maps to the most suitable communication medium from CCEA-style questions.,new_original,"U1 DT 2023 Q6(a), 2025 Q8(c) + MS; Network_Technologies_Notes.docx","[""medium_match_media_scenarios""]",published,true
medium,40,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Sends LAN data to destination device"",""right"":""Switch""},{""left"":""Forwards data between networks"",""right"":""Router""},{""left"":""Allows physical/wireless network interface"",""right"":""NIC""},{""left"":""Provides central file storage"",""right"":""File server""}],""choices"":[""Switch"",""Router"",""NIC"",""File server"",""Terminator""]}","{""pairs"":{""Sends LAN data to destination device"":""Switch"",""Forwards data between networks"":""Router"",""Allows physical/wireless network interface"":""NIC"",""Provides central file storage"":""File server""}}","Switch, router, NIC, and file server all play separate roles in network operation.",new_original,"U1 DT 2021 Q6, 2023 Q6(b), 2023 Q7(e) + MS; Network_Technologies_Notes.docx","[""medium_match_device_jobs""]",published,true
medium,41,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Backbone cable fails"",""right"":""Bus communication fails""},{""left"":""Single workstation fails in star"",""right"":""Other nodes usually continue""},{""left"":""Central device fails in star"",""right"":""Whole star may stop""},{""left"":""Cable/node fails in ring"",""right"":""Ring can be disrupted""}],""choices"":[""No effect on any topology"",""Ring can be disrupted"",""Whole star may stop"",""Other nodes usually continue"",""Bus communication fails""]}","{""pairs"":{""Backbone cable fails"":""Bus communication fails"",""Single workstation fails in star"":""Other nodes usually continue"",""Central device fails in star"":""Whole star may stop"",""Cable/node fails in ring"":""Ring can be disrupted""}}","Bus depends on its backbone, star isolates single workstation faults but depends on the central device, and ring can be disrupted by single faults.",new_original,"U1 DT 2019 Q6(d), 2022 Q7(a), 2023 Q7(b), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""medium_match_topology_effects""]",published,true
medium,42,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Main cable"",""right"":""Backbone""},{""left"":""End component"",""right"":""Terminator""},{""left"":""Connected device"",""right"":""Node/Workstation""},{""left"":""Typical issue if overloaded"",""right"":""Collisions""}],""choices"":[""Backbone"",""Terminator"",""Node/Workstation"",""Collisions"",""Switch""]}","{""pairs"":{""Main cable"":""Backbone"",""End component"":""Terminator"",""Connected device"":""Node/Workstation"",""Typical issue if overloaded"":""Collisions""}}","A bus network uses a backbone with terminators, connected nodes, and can suffer collisions.",new_original,U1 DT 2023 Q7(b)(c) + MS; Network_Technologies_Notes.docx,"[""medium_match_bus_parts""]",published,true
medium,43,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Global network of networks"",""right"":""Internet""},{""left"":""Collection of linked web pages"",""right"":""WWW""},{""left"":""Private organisational network"",""right"":""Intranet""},{""left"":""Physical connected devices online"",""right"":""IoT""}],""choices"":[""LAN"",""IoT"",""Intranet"",""WWW"",""Internet""]}","{""pairs"":{""Global network of networks"":""Internet"",""Collection of linked web pages"":""WWW"",""Private organisational network"":""Intranet"",""Physical connected devices online"":""IoT""}}","Internet is infrastructure, WWW is service/content, intranet is private, and IoT is connected physical devices.",new_original,U1 DT 2025 Q8(a)(b)(c) + MS; Network_Technologies_Notes.docx,"[""medium_match_internet_www""]",published,true
medium,44,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Watch to smartphone"",""right"":""Bluetooth""},{""left"":""Smart TV to home router"",""right"":""Wi-Fi""},{""left"":""Travelling user to cloud"",""right"":""5G""},{""left"":""Business LAN to internet"",""right"":""Fibre-optic""}],""choices"":[""Bluetooth"",""Wi-Fi"",""5G"",""Fibre-optic"",""Backbone""]}","{""pairs"":{""Watch to smartphone"":""Bluetooth"",""Smart TV to home router"":""Wi-Fi"",""Travelling user to cloud"":""5G"",""Business LAN to internet"":""Fibre-optic""}}",Each scenario maps to the most suitable communication medium from CCEA-style questions.,new_original,"U1 DT 2023 Q6(a), 2025 Q8(c) + MS; Network_Technologies_Notes.docx","[""medium_match_media_scenarios""]",published,true
medium,45,match_table,Match each item to the correct term or definition.,"{""pairs"":[{""left"":""Sends LAN data to destination device"",""right"":""Switch""},{""left"":""Forwards data between networks"",""right"":""Router""},{""left"":""Allows physical/wireless network interface"",""right"":""NIC""},{""left"":""Provides central file storage"",""right"":""File server""}],""choices"":[""Terminator"",""File server"",""NIC"",""Router"",""Switch""]}","{""pairs"":{""Sends LAN data to destination device"":""Switch"",""Forwards data between networks"":""Router"",""Allows physical/wireless network interface"":""NIC"",""Provides central file storage"":""File server""}}","Switch, router, NIC, and file server all play separate roles in network operation.",new_original,"U1 DT 2021 Q6, 2023 Q6(b), 2023 Q7(e) + MS; Network_Technologies_Notes.docx","[""medium_match_device_jobs""]",published,true
medium,46,drag_drop,Order the typical path from a school workstation to a web server.,"{""items"":[""Workstation/NIC"",""Router"",""Internet"",""Switch"",""Web server""]}","{""order"":[""Workstation/NIC"",""Switch"",""Router"",""Internet"",""Web server""]}",A typical request leaves the LAN via switch and router before reaching internet services.,new_original,Network_Technologies_Notes.docx + U1 DT 2021 Q6 + MS; Network_Technologies_Notes.docx,"[""drag_web_request_path""]",published,true
medium,47,drag_drop,Order a common Bluetooth pairing sequence.,"{""items"":[""Enable Bluetooth on both devices"",""Confirm pairing code"",""Search for nearby devices"",""Select the target device"",""Start audio/data transfer""]}","{""order"":[""Enable Bluetooth on both devices"",""Search for nearby devices"",""Select the target device"",""Confirm pairing code"",""Start audio/data transfer""]}",Bluetooth communication starts only after successful pairing.,new_original,U1 DT 2025 Q8(c) + Notes; Network_Technologies_Notes.docx,"[""drag_bluetooth_pairing""]",published,true
medium,48,drag_drop,Order the setup steps for a basic bus network.,"{""items"":[""Test communication"",""Connect nodes/workstations"",""Lay backbone cable"",""Attach terminators at both ends""]}","{""order"":[""Lay backbone cable"",""Connect nodes/workstations"",""Attach terminators at both ends"",""Test communication""]}",Terminators must be fitted before final communication testing.,new_original,"U1 DT 2023 Q7(c), 2025 Q13 + MS; Network_Technologies_Notes.docx","[""drag_bus_setup""]",published,true
medium,49,drag_drop,Order what happens when data travels on a ring network.,"{""items"":[""Destination workstation receives data"",""Source workstation sends data"",""Data continues around the ring"",""Data moves to the next node""]}","{""order"":[""Source workstation sends data"",""Data moves to the next node"",""Data continues around the ring"",""Destination workstation receives data""]}",Ring traffic passes through nodes around the loop to reach the destination.,new_original,"U1 DT 2022 Q7(a), 2023 Q7(c) + MS; Network_Technologies_Notes.docx","[""drag_ring_flow""]",published,true
medium,50,drag_drop,Order a simple star-network setup and check routine.,"{""items"":[""Test communication from each workstation"",""Verify each cable connection"",""Simulate one workstation failure to check isolation"",""Connect each workstation to central switch/server""]}","{""order"":[""Connect each workstation to central switch/server"",""Verify each cable connection"",""Test communication from each workstation"",""Simulate one workstation failure to check isolation""]}",Star networks should keep working if one workstation fails.,new_original,"U1 DT 2024 Q6(a), 2019 Q6(d) + MS; Network_Technologies_Notes.docx","[""drag_star_checks""]",published,true
medium,51,drag_drop,Order the main steps for connecting a new wired workstation to a LAN.,"{""items"":[""Install/enable NIC"",""Plug into switch"",""Connect Ethernet cable"",""Test network communication""]}","{""order"":[""Install/enable NIC"",""Connect Ethernet cable"",""Plug into switch"",""Test network communication""]}",A wired LAN connection needs a NIC and Ethernet link to a switch before communication tests.,new_original,"U1 DT 2023 Q6(b), Q7(e) + MS; Network_Technologies_Notes.docx","[""drag_wired_lan""]",published,true
medium,52,drag_drop,Order the best process for accessing company cloud files while travelling.,"{""items"":[""Download or edit required files"",""Open cloud service"",""Enable mobile data"",""Connect to 5G service""]}","{""order"":[""Enable mobile data"",""Connect to 5G service"",""Open cloud service"",""Download or edit required files""]}",Travelling access normally depends on mobile data such as 5G before cloud access.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""drag_cloud_travel""]",published,true
medium,53,drag_drop,Order the steps to connect a smart TV to a home network.,"{""items"":[""Turn on Wi-Fi on the TV"",""Confirm connection and test streaming"",""Enter network credentials"",""Select home network SSID""]}","{""order"":[""Turn on Wi-Fi on the TV"",""Select home network SSID"",""Enter network credentials"",""Confirm connection and test streaming""]}",Home smart TV networking is a Wi-Fi connection process followed by connectivity testing.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""drag_smart_tv_home""]",published,true
medium,54,drag_drop,Order a sensible response after a bus network stops communicating.,"{""items"":[""Repair/replace faulty cable component"",""Retest communication"",""Inspect terminators at both ends"",""Check whether backbone cable is damaged""]}","{""order"":[""Check whether backbone cable is damaged"",""Inspect terminators at both ends"",""Repair/replace faulty cable component"",""Retest communication""]}",Bus faults are often traced to backbone/terminator issues before retesting.,new_original,U1 DT 2023 Q7(b)(ii)(iii) + MS; Network_Technologies_Notes.docx,"[""drag_bus_fault""]",published,true
medium,55,drag_drop,Order the process for adding a new workstation to a star network.,"{""items"":[""Configure workstation network settings"",""Run cable from new workstation"",""Test communication"",""Connect to central switch/server""]}","{""order"":[""Run cable from new workstation"",""Connect to central switch/server"",""Configure workstation network settings"",""Test communication""]}",Star networks allow device addition via the central point without full shutdown.,new_original,"U1 DT 2024 Q6(a), 2019 Q6(d)(ii) + MS; Network_Technologies_Notes.docx","[""drag_star_expansion""]",published,true
medium,56,drag_drop,Order these statements from infrastructure to service use.,"{""items"":[""Internet provides global connectivity"",""Users view web content"",""Browsers request pages"",""Web servers host linked pages""]}","{""order"":[""Internet provides global connectivity"",""Web servers host linked pages"",""Browsers request pages"",""Users view web content""]}",Internet infrastructure supports web services that users access through browsers.,new_original,U1 DT 2025 Q8(b)(c) + MS; Network_Technologies_Notes.docx,"[""drag_internet_www_logic""]",published,true
medium,57,drag_drop,Order the clues to identify a bus topology in a diagram question.,"{""items"":[""Check nodes connect to that cable"",""Look for terminators at both ends"",""Conclude it is a bus topology"",""Spot one shared main cable""]}","{""order"":[""Spot one shared main cable"",""Check nodes connect to that cable"",""Look for terminators at both ends"",""Conclude it is a bus topology""]}","CCEA bus diagram marking expects backbone, nodes, and terminators.",new_original,U1 DT 2023 Q7(c) + MS; Network_Technologies_Notes.docx,"[""drag_topology_identification""]",published,true
medium,58,drag_drop,Order the data path in a typical wired LAN reaching the internet.,"{""items"":[""Switch forwards packet in LAN"",""Remote service responds"",""Device sends packet via NIC"",""Router forwards packet to internet""]}","{""order"":[""Device sends packet via NIC"",""Switch forwards packet in LAN"",""Router forwards packet to internet"",""Remote service responds""]}",NIC->switch->router is the standard progression from local to external network.,new_original,U1 DT 2021 Q6 + MS; Network_Technologies_Notes.docx,"[""drag_router_switch_roles""]",published,true
medium,59,drag_drop,Order this reasoning chain about why fibre is often chosen.,"{""items"":[""Choose fibre-optic medium"",""Transmit data as light"",""Need high-capacity reliable link"",""Gain high bandwidth and low interference""]}","{""order"":[""Need high-capacity reliable link"",""Choose fibre-optic medium"",""Transmit data as light"",""Gain high bandwidth and low interference""]}",Fibre is selected for high bandwidth and lower interference risk.,new_original,"U1 DT 2022 Q8(d), 2023 Q6(a) + MS; Network_Technologies_Notes.docx","[""drag_fibre_reasoning""]",published,true
medium,60,drag_drop,Order a basic smart-home device connection flow.,"{""items"":[""Send/receive data over internet"",""Power on IoT device"",""Connect device to home network"",""Link device to control app""]}","{""order"":[""Power on IoT device"",""Connect device to home network"",""Link device to control app"",""Send/receive data over internet""]}",IoT devices rely on network connection before they can exchange data online.,new_original,U1 DT 2025 Q8(a) + MS; Network_Technologies_Notes.docx,"[""drag_iot_setup_logic""]",published,true
expert,1,mcq,A school network only covers one building. Which option best describes this network type?,"{""choices"":[""Ring"",""LAN"",""WAN"",""Intranet""]}","{""choice"":""LAN""}",A LAN covers a small geographical area such as one building.,new_original,U1 DT 2024 Q1(c) + MS; Network_Technologies_Notes.docx,"[""scenario_lan"",""expert_scenario""]",published,true
expert,2,mcq,A company links offices in Belfast and Derry. Which option best describes the network type?,"{""choices"":[""LAN"",""WAN"",""Intranet"",""Bus""]}","{""choice"":""WAN""}",A WAN connects networks over large geographical areas.,new_original,U1 DT 2024 Q1(b) + MS; Network_Technologies_Notes.docx,"[""scenario_wan"",""expert_scenario""]",published,true
expert,3,mcq,"Staff can access an internal site, but the public cannot. Which option is correct?","{""choices"":[""Internet"",""Intranet"",""IoT"",""WWW""]}","{""choice"":""Intranet""}",An intranet is a private organisational network for authorised users.,new_original,U1 DT 2019 Q6(a)(iii) + MS; Network_Technologies_Notes.docx,"[""scenario_intranet"",""expert_scenario""]",published,true
expert,4,mcq,A student opens linked pages in a browser. Which option names this service running on the internet?,"{""choices"":[""Router"",""LAN"",""Backbone"",""World Wide Web""]}","{""choice"":""World Wide Web""}",The World Wide Web is a collection of linked pages on web servers.,new_original,U1 DT 2025 Q8(b)(c) + MS; Network_Technologies_Notes.docx,"[""scenario_www"",""expert_scenario""]",published,true
expert,5,mcq,A smart thermostat sends data online so it can be monitored remotely. Which option describes this?,"{""choices"":[""Bus topology"",""IoT"",""WAN"",""Intranet""]}","{""choice"":""IoT""}",IoT refers to physical devices connected to the internet.,new_original,U1 DT 2025 Q8(a) + MS; Network_Technologies_Notes.docx,"[""scenario_iot"",""expert_scenario""]",published,true
expert,6,mcq,A student links wireless headphones to a phone. Which option is the most suitable communication technology?,"{""choices"":[""Bluetooth"",""Fibre-optic"",""5G"",""Wi-Fi""]}","{""choice"":""Bluetooth""}",Bluetooth is designed for short-range personal device links.,new_original,"U1 DT 2023 Q6(a), 2025 Q8(c) + MS; Network_Technologies_Notes.docx","[""scenario_bluetooth"",""expert_scenario""]",published,true
expert,7,mcq,A smart TV is being connected to the home network in the living room. Which option is best?,"{""choices"":[""Bluetooth"",""Wi-Fi"",""5G"",""Backbone cable""]}","{""choice"":""Wi-Fi""}",Wi-Fi is the typical medium for local wireless network access.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""scenario_wifi"",""expert_scenario""]",published,true
expert,8,mcq,An employee needs cloud files while travelling between sites. Which option is most suitable?,"{""choices"":[""Bluetooth"",""Terminator"",""Wi-Fi"",""5G""]}","{""choice"":""5G""}",5G is used for mobile data access away from fixed networks.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""scenario_5g"",""expert_scenario""]",published,true
expert,9,mcq,A business needs a high-capacity fixed link from LAN to internet. Which option is most suitable?,"{""choices"":[""Wi-Fi"",""Bluetooth"",""Fibre-optic"",""5G""]}","{""choice"":""Fibre-optic""}",Fibre-optic is commonly used for high-capacity fixed connectivity.,new_original,U1 DT 2023 Q6(a) + MS; Network_Technologies_Notes.docx,"[""scenario_fibre"",""expert_scenario""]",published,true
expert,10,mcq,A school must connect its internal network to the internet. Which device option is required?,"{""choices"":[""Router"",""Switch"",""NIC"",""Terminator""]}","{""choice"":""Router""}",A router connects networks and forwards packets between them.,new_original,"U1 DT 2021 Q6(2), 2023 Q6(b) + MS; Network_Technologies_Notes.docx","[""scenario_router"",""expert_scenario""]",published,true
expert,11,mcq,"In a wired LAN, each workstation needs to connect to a central LAN device. Which option is correct?","{""choices"":[""File server"",""Router"",""Backbone"",""Switch""]}","{""choice"":""Switch""}","On a wired network, each device connects to a switch using Ethernet cables.",new_original,U1 DT 2023 Q6(b) + MS; Network_Technologies_Notes.docx,"[""scenario_switch"",""expert_scenario""]",published,true
expert,12,mcq,A computer cannot join the network until one hardware component is present. Which option is it?,"{""choices"":[""NIC"",""WAN"",""Router"",""Terminator""]}","{""choice"":""NIC""}",A NIC is needed for a device to connect and communicate on a network.,new_original,U1 DT 2023 Q7(e) + MS; Network_Technologies_Notes.docx,"[""scenario_nic"",""expert_scenario""]",published,true
expert,13,mcq,A school wants central storage so all staff can access shared files. Which option is best?,"{""choices"":[""Router"",""NIC"",""Switch"",""File server""]}","{""choice"":""File server""}",A file server stores shared files for network users.,new_original,U1 DT 2021 Q6(1) + MS; Network_Technologies_Notes.docx,"[""scenario_file_server"",""expert_scenario""]",published,true
expert,14,mcq,"In a bus topology, the main cable breaks. Which option best describes what happens next?","{""choices"":[""Network becomes a ring automatically"",""Performance improves"",""Only one workstation is affected"",""Communication across the bus network fails""]}","{""choice"":""Communication across the bus network fails""}","If the backbone cable fails, communication on a bus network can fail.",new_original,U1 DT 2023 Q7(b)(ii) + MS; Network_Technologies_Notes.docx,"[""scenario_bus_failure"",""expert_scenario""]",published,true
expert,15,mcq,A teacher labels both ends of a bus cable. Which option explains the role of these end components?,"{""choices"":[""They store shared files"",""They route internet traffic"",""They stop signal bounce/return on the cable"",""They increase wireless range""]}","{""choice"":""They stop signal bounce/return on the cable""}",Terminators absorb the signal and reduce bounce/collision issues.,new_original,U1 DT 2023 Q7(b)(iii) + MS; Network_Technologies_Notes.docx,"[""scenario_terminator"",""expert_scenario""]",published,true
expert,16,mcq,One workstation in a star network fails. Which option is most accurate?,"{""choices"":[""Other workstations can usually continue"",""Whole network always stops"",""Network turns into bus topology"",""Backbone cable fails""]}","{""choice"":""Other workstations can usually continue""}","In star topology, single workstation failures are often isolated.",new_original,"U1 DT 2024 Q6(a), 2019 Q6(d)(ii) + MS; Network_Technologies_Notes.docx","[""scenario_star_advantage"",""expert_scenario""]",published,true
expert,17,mcq,The central switch/server in a star topology fails. Which option is most accurate?,"{""choices"":[""It improves security"",""The network can fail because the central point is critical"",""No effect on communication"",""Only one workstation fails""]}","{""choice"":""The network can fail because the central point is critical""}",A star network depends on the central device.,new_original,"U1 DT 2019 Q6(d)(iii), 2024 Q6(a) + MS; Network_Technologies_Notes.docx","[""scenario_star_disadvantage"",""expert_scenario""]",published,true
expert,18,mcq,A node or cable fails in a ring network. Which option best matches this risk?,"{""choices"":[""The ring can be disrupted"",""No disruption because there is a central controller"",""Terminators absorb the issue"",""Only one device is affected for sure""]}","{""choice"":""The ring can be disrupted""}",Ring communication can be disrupted by a single node/cable failure.,new_original,U1 DT 2022 Q7(a)(ii) + MS; Network_Technologies_Notes.docx,"[""scenario_ring_disadvantage"",""expert_scenario""]",published,true
